a9d0be2 - Kai Saborowski, vor 4 Wochen : Fixed version in README.md.
854dbd6 - Kai Saborowski, vor 4 Wochen : Bumped Version to 1.4.0-SNAPSHOT, Spring Boot 3.1.5, Java 21.
55fec0b - Kai Saborowski, vor 4 Wochen : Update Zwischenstand.
dd28d18 - Kai Saborowski, vor 4 Wochen : Update Zwischenstand.
641041d - Kai Saborowski, vor 4 Wochen : Update Zwischenstand.
dc84eb9 - Kai Saborowski, vor 4 Wochen : Merge pull request #119 from ksbrwsk/dependabot/maven/com.pi4j-pi4j-core-2.4.0
ad725d8 - Kai Saborowski, vor 4 Wochen : Merge pull request #118 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-3.1.5
f8f6e15 - dependabot[bot], vor 4 Wochen : Bump com.pi4j:pi4j-core from 2.3.0 to 2.4.0
0b2d607 - dependabot[bot], vor 5 Wochen : Bump org.springframework.boot:spring-boot-starter-parent
08ea634 - Kai Saborowski, vor 6 Wochen : Merge pull request #77 from ksbrwsk/dependabot/maven/com.google.apis-google-api-services-oauth2-v2-rev20200213-2.0.0
fc04f09 - Kai Saborowski, vor 6 Wochen : Merge pull request #117 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.15.3
07d05e2 - dependabot[bot], vor 6 Wochen : Bump com.fasterxml.jackson.core:jackson-databind from 2.15.2 to 2.15.3
fbb9567 - Kai Saborowski, vor 6 Wochen : Merge pull request #116 from ksbrwsk/dependabot/maven/com.google.guava-guava-32.1.3-jre
976edfc - dependabot[bot], vor 6 Wochen : Bump com.google.guava:guava from 32.1.2-jre to 32.1.3-jre
003de27 - Kai Saborowski, vor 9 Wochen : Merge pull request #115 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-3.1.4
341e471 - dependabot[bot], vor 9 Wochen : Bump org.springframework.boot:spring-boot-starter-parent
f73cbc9 - Kai Saborowski, vor 9 Wochen : Merge pull request #114 from ksbrwsk/dependabot/maven/com.google.guava-guava-32.1.2-jre
8e654a2 - Kai Saborowski, vor 9 Wochen : Merge pull request #113 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-3.1.3
13813aa - dependabot[bot], vor 9 Wochen : Bump com.google.guava:guava from 32.1.1-jre to 32.1.2-jre
b720a88 - dependabot[bot], vor 9 Wochen : Bump org.springframework.boot:spring-boot-starter-parent
3d99610 - Kai Saborowski, vor 10 Wochen : Merge pull request #112 from ksbrwsk/dependabot/maven/com.google.guava-guava-32.1.1-jre
8b1c8f4 - Kai Saborowski, vor 10 Wochen : Merge branch 'master' into dependabot/maven/com.google.guava-guava-32.1.1-jre
f0c752b - Kai Saborowski, vor 10 Wochen : Merge pull request #110 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-3.1.1
ee14451 - Kai Saborowski, vor 10 Wochen : Merge pull request #109 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.43.3
2b5ae2b - Kai Saborowski, vor 10 Wochen : Merge pull request #108 from ksbrwsk/dependabot/maven/raspberrypi-boot-gdata/com.google.guava-guava-32.0.0-jre
b65b1be - Kai Saborowski, vor 10 Wochen : Merge pull request #106 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.15.2
af59d2c - dependabot[bot], vor 5 Monaten : Bump guava from 31.1-jre to 32.1.1-jre
c60f5ef - dependabot[bot], vor 5 Monaten : Bump spring-boot-starter-parent from 3.0.5 to 3.1.1
fa1416a - dependabot[bot], vor 5 Monaten : Bump google-http-client-jackson2 from 1.43.1 to 1.43.3
2de974c - dependabot[bot], vor 5 Monaten : Bump guava from 31.1-jre to 32.0.0-jre in /raspberrypi-boot-gdata
0b35143 - dependabot[bot], vor 6 Monaten : Bump jackson-databind from 2.14.2 to 2.15.2
819e6f9 - Kai Saborowski, vor 7 Monaten : Merge pull request #99 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-3.0.5
9d6fb12 - dependabot[bot], vor 7 Monaten : Bump spring-boot-starter-parent from 3.0.4 to 3.0.5
49594f9 - Kai Saborowski, vor 7 Monaten : Merge pull request #98 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.43.1
be6a699 - Kai Saborowski, vor 7 Monaten : Merge pull request #97 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-3.0.4
0048c88 - Kai Saborowski, vor 7 Monaten : Merge pull request #94 from ksbrwsk/dependabot/maven/com.pi4j-pi4j-core-2.3.0
841c162 - Kai Saborowski, vor 7 Monaten : Merge pull request #93 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.14.2
983bb80 - dependabot[bot], vor 8 Monaten : Bump google-http-client-jackson2 from 1.41.8 to 1.43.1
270dbf3 - dependabot[bot], vor 9 Monaten : Bump spring-boot-starter-parent from 2.7.0 to 3.0.4
fa0a105 - dependabot[bot], vor 10 Monaten : Bump pi4j-core from 1.4 to 2.3.0
eac50eb - dependabot[bot], vor 10 Monaten : Bump jackson-databind from 2.13.3 to 2.14.2
7f193ce - dependabot[bot], vor 1 Jahr, und 4 Monaten : Bump google-api-services-oauth2
a610045 - Kai Saborowski, vor 1 Jahr, und 6 Monaten : Merge pull request #69 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.41.8
9288e76 - Kai Saborowski, vor 1 Jahr, und 6 Monaten : Merge pull request #70 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.13.3
bce5f06 - Kai Saborowski, vor 1 Jahr, und 6 Monaten : Merge pull request #71 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.7.0
bcbce48 - dependabot[bot], vor 1 Jahr, und 6 Monaten : Bump spring-boot-starter-parent from 2.6.7 to 2.7.0
53a2545 - dependabot[bot], vor 1 Jahr, und 6 Monaten : Bump jackson-databind from 2.13.2.2 to 2.13.3
bdd1765 - dependabot[bot], vor 1 Jahr, und 7 Monaten : Bump google-http-client-jackson2 from 1.41.7 to 1.41.8
0e4cbfa - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Update README.md.
90973ed - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Update README.md.
1c72a29 - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Merge branch 'master' of https://github.com/ksbrwsk/raspberrypi-boot
8b5effb - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Update README.md.
07fa061 - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Merge pull request #68 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.6.7
dfc009d - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Update README.md.
633073f - dependabot[bot], vor 1 Jahr, und 7 Monaten : Bump spring-boot-starter-parent from 2.6.6 to 2.6.7
35a1b9f - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Merge pull request #65 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.6.6
a372902 - Kai Saborowski, vor 1 Jahr, und 7 Monaten : Merge pull request #67 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.41.7
5089cc2 - dependabot[bot], vor 1 Jahr, und 7 Monaten : Bump google-http-client-jackson2 from 1.41.5 to 1.41.7
e3a1021 - dependabot[bot], vor 1 Jahr, und 8 Monaten : Bump spring-boot-starter-parent from 2.6.5 to 2.6.6
ed8de83 - Kai Saborowski, vor 1 Jahr, und 8 Monaten : Merge pull request #62 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.6.5
128d4c5 - Kai Saborowski, vor 1 Jahr, und 8 Monaten : Merge pull request #63 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.41.5
134c939 - Kai Saborowski, vor 1 Jahr, und 8 Monaten : Merge pull request #64 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.13.2.2
801e6d4 - dependabot[bot], vor 1 Jahr, und 8 Monaten : Bump jackson-databind from 2.13.2 to 2.13.2.2
a932009 - dependabot[bot], vor 1 Jahr, und 8 Monaten : Bump google-http-client-jackson2 from 1.41.4 to 1.41.5
5315c56 - dependabot[bot], vor 1 Jahr, und 8 Monaten : Bump spring-boot-starter-parent from 2.6.4 to 2.6.5
d4e7939 - Kai Saborowski, vor 1 Jahr, und 9 Monaten : Merge pull request #60 from ksbrwsk/dependabot/maven/com.google.guava-guava-31.1-jre
a884834 - Kai Saborowski, vor 1 Jahr, und 9 Monaten : Merge pull request #59 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.13.2
e50bf6f - dependabot[bot], vor 1 Jahr, und 9 Monaten : Bump guava from 30.1.1-jre to 31.1-jre
9ea4d84 - dependabot[bot], vor 1 Jahr, und 9 Monaten : Bump jackson-databind from 2.13.1 to 2.13.2
aae3634 - Kai Saborowski, vor 1 Jahr, und 9 Monaten : Bumped Google Guava to 30.1.1-jre.
7e00c72 - Kai Saborowski, vor 1 Jahr, und 9 Monaten : Merge pull request #57 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.6.4
ac62c0c - Kai Saborowski, vor 1 Jahr, und 9 Monaten : Merge pull request #58 from ksbrwsk/dependabot/maven/com.google.guava-guava-31.1-jre
28bae42 - dependabot[bot], vor 1 Jahr, und 9 Monaten : Bump guava from 30.1.1-jre to 31.1-jre
b8eff76 - dependabot[bot], vor 1 Jahr, und 9 Monaten : Bump spring-boot-starter-parent from 2.6.3 to 2.6.4
3dae072 - Kai Saborowski, vor 1 Jahr, und 9 Monaten : Merge pull request #56 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.41.4
3ab2157 - dependabot[bot], vor 1 Jahr, und 9 Monaten : Bump google-http-client-jackson2 from 1.41.0 to 1.41.4
b8ac403 - Kai Saborowski, vor 1 Jahr, und 10 Monaten : Merge pull request #51 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.41.0
